district,state,sim1,sim2,sim3,sim4,sim5
davangere,karnataka,dharwad (karnataka),kolar (karnataka),chitradurga (karnataka),haveri (karnataka),junagadh (gujarat)
dharwad,karnataka,davangere (karnataka),haveri (karnataka),sonipat (haryana),kolar (karnataka),seoni (madhya pradesh)
gadag,karnataka,udupi (karnataka),koppal (karnataka),mewat (haryana),mysuru (karnataka),belagavi (karnataka)
gadag ,karnataka,chikmagalur (karnataka),haveri  (karnataka),chamarajanagar (karnataka),bagalkot  (karnataka),s.a.s nagar(mohali) (punjab)
gulbarga,karnataka,karur (tamil nadu),bargarh (odisha),neemuch (madhya pradesh),bellary (karnataka),amreli (gujarat)
hasan,karnataka,tirupattur (tamil nadu),kodagu (karnataka),chikkamagaluru (karnataka),tenkasi (tamil nadu),ganderbal (jammu and kashmir)
hassan,karnataka,rewari (haryana),jhajjar (haryana),tumkur (karnataka),mahendragarh (haryana),ambala (haryana)
haveri,karnataka,sonipat (haryana),kolar (karnataka),dharwad (karnataka),mandya (karnataka),davangere (karnataka)
haveri ,karnataka,gadag  (karnataka),chikmagalur (karnataka),yamunanagar (haryana),lahul and spiti (himachal pradesh),niwari (madhya pradesh)
kalaburagi,karnataka,amreli (gujarat),bellary (karnataka),mysuru (karnataka),viluppuram (tamil nadu),jamnagar (gujarat)
kodagu,karnataka,chikkamagaluru (karnataka),chickmagalur (karnataka),alluri sitharama raju (andhra pradesh),kullu (himachal pradesh),ganderbal (jammu and kashmir)
kolar,karnataka,chitradurga (karnataka),haveri (karnataka),davangere (karnataka),dharwad (karnataka),mandla (madhya pradesh)
koppal,karnataka,jamnagar (gujarat),bagalkot (karnataka),mysuru (karnataka),hoshangabad (madhya pradesh),neemuch (madhya pradesh)
mandya,karnataka,rohtak (haryana),ambala (haryana),haveri (karnataka),kangra (himachal pradesh),mahendragarh (haryana)
mysore,karnataka,navsari (gujarat),tumakuru (karnataka),mahendragarh (haryana),chikkaballapur (karnataka),kolar (karnataka)
mysuru,karnataka,kalaburagi (karnataka),kapurthala (punjab),koppal (karnataka),jagatsinghapur (odisha),amreli (gujarat)
raichur,karnataka,vidisha (madhya pradesh),dewas (madhya pradesh),katni (madhya pradesh),guna (madhya pradesh),valsad (gujarat)
ramanagar,karnataka,udhampur (jammu and kashmir),anantnag (jammu and kashmir),baramula (jammu and kashmir),chikkaballapur (karnataka),kandhamal (odisha)
ramanagara,karnataka,shopian (jammu and kashmir),24 paraganas south (west bengal),nabarangpur (odisha),sivasagar (assam),s.a.s nagar (punjab)
shimoga,karnataka,chamrajanagar (karnataka),ballari (karnataka),uttara kannada (karnataka),kathua (jammu and kashmir),tumakuru (karnataka)
shivamogga,karnataka,tapi (gujarat),navsari (gujarat),pulwama (jammu and kashmir),mahendragarh (haryana),ballari (karnataka)
tumakuru,karnataka,mysore (karnataka),uttara kannada (karnataka),mahendragarh (haryana),navsari (gujarat),chikkaballapur (karnataka)
tumkur,karnataka,rohtak (haryana),mahendragarh (haryana),hassan (karnataka),srinagar (jammu and kashmir),ambala (haryana)
udupi,karnataka,gadag (karnataka),uttara kannada (karnataka),shimoga (karnataka),jagatsinghapur (odisha),tumakuru (karnataka)
udupi ,karnataka,bokaro  (jharkhand),burdwan (west bengal),bandipur (jammu and kashmir),tiruvarur (tamil nadu),bijapur(kar) (karnataka)
uttara kannada,karnataka,tumakuru (karnataka),chitradurga (karnataka),udupi (karnataka),mysore (karnataka),jagatsinghapur (odisha)
vijayanagara,karnataka,badgam (jammu and kashmir),arvalli (gujarat),porbandar (gujarat),chamrajanagar (karnataka),mahisagar (gujarat)
vijayapura,karnataka,umaria (madhya pradesh),neemuch (madhya pradesh),bagalkot (karnataka),koppal (karnataka),hoshangabad (madhya pradesh)
yadgir,karnataka,valsad (gujarat),raichur (karnataka),katni (madhya pradesh),dewas (madhya pradesh),umaria (madhya pradesh)
alappuzha,kerala,kottayam (kerala),surajpur (chhattisgarh),koraput (odisha),kalahandi (odisha),hanumangarh (rajasthan)
ernakulam,kerala,kozhikode (kerala),kannur (kerala),koraput (odisha),hanumangarh (rajasthan),dausa (rajasthan)
idukki,kerala,wayanad (kerala),gajapati (odisha),kanker (chhattisgarh),ariyalur (tamil nadu),fazilka (punjab)
kannur,kerala,ernakulam (kerala),dausa (rajasthan),kozhikode (kerala),bastar (chhattisgarh),lalitpur (uttar pradesh)
kasaragod,kerala,rayagada (odisha),rajouri (jammu and kashmir),kottayam (kerala),kalahandi (odisha),thiruvarur (tamil nadu)
kasargod,kerala,chittaurgarh (rajasthan),kargil (ladakh),medchal−malkajgiri (telangana),bagalkot  (karnataka),anugul (odisha)
kollam,kerala,cuttack (odisha),haridwar (uttarakhand),krishnagiri (tamil nadu),hyderabad (andhra pradesh),thiruvananthapuram (kerala)
kottayam,kerala,alappuzha (kerala),surajpur (chhattisgarh),kasaragod (kerala),kalahandi (odisha),rayagada (odisha)
kozhikode,kerala,ernakulam (kerala),kannur (kerala),hanumangarh (rajasthan),koraput (odisha),dausa (rajasthan)
malappuram,kerala,aurangabad (maharashtra),katihar (bihar),kancheepuram (tamil nadu),palghar (maharashtra),north east delhi (delhi)
palakkad,kerala,thiruvananthapuram (kerala),tikamgarh (madhya pradesh),thanjavur (tamil nadu),haridwar (uttarakhand),nalgonda (telangana)
pathanamthitta,kerala,rangareddi (andhra pradesh),the nilgiris (tamil nadu),north east (delhi),simdega (jharkhand),north tripura (tripura)
thiruvananthapuram,kerala,palakkad (kerala),thanjavur (tamil nadu),haridwar (uttarakhand),tikamgarh (madhya pradesh),nalgonda (telangana)
thrissur,kerala,mayurbhanj (odisha),pudukkottai (tamil nadu),tikamgarh (madhya pradesh),ganganagar (rajasthan),thiruvananthapuram (kerala)
wayanad,kerala,idukki (kerala),gajapati (odisha),pithoragarh (uttarakhand),uttarkashi (uttarakhand),kanker (chhattisgarh)
kargil,ladakh,kargil (jammu and kashmir),saiha (mizoram),chittaurgarh (rajasthan),thiruvallur (tamil nadu),kasargod (kerala)
leh,ladakh,diu (dadra and nagar haveli and daman and diu),washim  (maharashtra),mammit (mizoram),nawanshahr (punjab),kinnaur (himachal pradesh)
lakshadweep,lakshadweep,muktsar (punjab),niwari (madhya pradesh),nawanshahr (punjab),kinnaur (himachal pradesh),haveri  (karnataka)
agar malwa,madhya pradesh,botad (gujarat),devbhumi dwarka (gujarat),mahisagar (gujarat),umaria (madhya pradesh),lawngtlai (mizoram)
alirajpur,madhya pradesh,sheopur (madhya pradesh),jamui (bihar),baghpat (uttar pradesh),deoghar (jharkhand),sirohi (rajasthan)
anuppur,madhya pradesh,tehri garhwal (uttarakhand),nainital (uttarakhand),sambalpur (odisha),angul (odisha),hoshiarpur (punjab)
ashok nagar,madhya pradesh,garhwa (jharkhand),bundi (rajasthan),baran (rajasthan),sabarkantha (gujarat),lalitpur (uttar pradesh)
ashoknagar,madhya pradesh,coochbehar (west bengal),24 paraganas north (west bengal),kushi nagar (uttar pradesh),east singhbum (jharkhand),spsr nellore (andhra pradesh)
balaghat,madhya pradesh,nizamabad (telangana),tiruvannamalai (tamil nadu),sidhi (madhya pradesh),seoni (madhya pradesh),dharwad (karnataka)
barwani,madhya pradesh,morena (madhya pradesh),meerut (uttar pradesh),bharatpur (rajasthan),bhind (madhya pradesh),jalor (rajasthan)
betul,madhya pradesh,shajapur (madhya pradesh),tiruchirappalli (tamil nadu),villupuram (tamil nadu),kheda (gujarat),belgaum (karnataka)
bhind,madhya pradesh,morena (madhya pradesh),banaskantha (gujarat),gwalior (madhya pradesh),chhatarpur (madhya pradesh),barwani (madhya pradesh)
bhopal,madhya pradesh,sagar (madhya pradesh),jabalpur (madhya pradesh),bhavnagar (gujarat),satna (madhya pradesh),rewa (madhya pradesh)
burhanpur,madhya pradesh,patan (gujarat),barpeta (assam),gwalior (madhya pradesh),bhind (madhya pradesh),panna (madhya pradesh)
chhatarpur,madhya pradesh,banaskantha (gujarat),khargone (madhya pradesh),morena (madhya pradesh),alwar (rajasthan),gwalior (madhya pradesh)
chhindwara,madhya pradesh,tiruvannamalai (tamil nadu),nizamabad (telangana),balaghat (madhya pradesh),seoni (madhya pradesh),panipat (haryana)
damoh,madhya pradesh,thoothukkudi (tamil nadu),shahdol (madhya pradesh),erode (tamil nadu),sivaganga (tamil nadu),khorda (odisha)
datia,madhya pradesh,jamtara (jharkhand),karauli (rajasthan),sawai madhopur (rajasthan),chhotaudepur (gujarat),kokrajhar (assam)
dewas,madhya pradesh,raichur (karnataka),vidisha (madhya pradesh),valsad (gujarat),katni (madhya pradesh),yadgir (karnataka)
dhar,madhya pradesh,bhilwara (rajasthan),nagaon (assam),sikar (rajasthan),kachchh (gujarat),ludhiana (punjab)
dindori,madhya pradesh,tarn taran (punjab),nayagarh (odisha),srinagar (jammu and kashmir),rewari (haryana),perambalur (tamil nadu)
east nimar,madhya pradesh,kokrajhar (assam),hapur (uttar pradesh),sheohar (bihar),chirang (assam),koderma (jharkhand)
guna,madhya pradesh,vidisha (madhya pradesh),ajmer (rajasthan),raichur (karnataka),jhunjhunun (rajasthan),surendra nagar (gujarat)
gwalior,madhya pradesh,banaskantha (gujarat),morena (madhya pradesh),chhatarpur (madhya pradesh),moradabad (uttar pradesh),khargone (madhya pradesh)
harda,madhya pradesh,jajpur (odisha),malkangiri (odisha),bandipore (jammu and kashmir),east midnapore (west bengal),boudh (odisha)
harda ,madhya pradesh,west nimar (madhya pradesh),garhwa  (jharkhand),mumbai( sub urban ) (maharashtra),purbi singhbhum (jharkhand),subarnapur (odisha)
hoshangabad,madhya pradesh,jamnagar (gujarat),anand (gujarat),koppal (karnataka),mahesana (gujarat),bagalkot (karnataka)
indore,madhya pradesh,hyderabad (telangana),rajkot (gujarat),bengaluru (karnataka),ludhiana (punjab),saharanpur (uttar pradesh)
jabalpur,madhya pradesh,satna (madhya pradesh),sagar (madhya pradesh),bhavnagar (gujarat),bhopal (madhya pradesh),dehradun (uttarakhand)
jhabua,madhya pradesh,sirohi (rajasthan),karbi anglong (assam),jamui (bihar),unnao (uttar pradesh),jalor (rajasthan)
katni,madhya pradesh,raichur (karnataka),vidisha (madhya pradesh),dewas (madhya pradesh),panna (madhya pradesh),patan (gujarat)
khandwa,madhya pradesh,jamtara (jharkhand),narsinghpur (madhya pradesh),bundi (rajasthan),tonk (rajasthan),ashok nagar (madhya pradesh)
khargone,madhya pradesh,banaskantha (gujarat),chhatarpur (madhya pradesh),nagaur (rajasthan),jodhpur (rajasthan),alwar (rajasthan)
maihar,madhya pradesh,south dinajpur (west bengal),kallakurichi (tamil nadu),mauganj (madhya pradesh),jangoan (telangana),pandhurna (madhya pradesh)
mandla,madhya pradesh,chitradurga (karnataka),kolar (karnataka),dharwad (karnataka),davangere (karnataka),haveri (karnataka)
mandsaur,madhya pradesh,belagavi (karnataka),mewat (haryana),bagalkot (karnataka),dakshina kannada (karnataka),bhavnagar (gujarat)
mauganj,madhya pradesh,south dinajpur (west bengal),north dinajpur (west bengal),maihar (madhya pradesh),darjiling (west bengal),jayashankar bhupalpally (telangana)
morena,madhya pradesh,banaskantha (gujarat),chhatarpur (madhya pradesh),barwani (madhya pradesh),gwalior (madhya pradesh),bhind (madhya pradesh)
narmadapuram,madhya pradesh,mayiladuthurai (tamil nadu),west nimar (madhya pradesh),tirupattur (tamil nadu),davanagere (karnataka),harda  (madhya pradesh)
narsimhapur,madhya pradesh,lawngtlai (mizoram),west nimar (madhya pradesh),devbhumi dwarka (gujarat),medchal−malkajgiri (telangana),agar malwa (madhya pradesh)
narsinghpur,madhya pradesh,bijapur (karnataka),surendra nagar (gujarat),khandwa (madhya pradesh),ashok nagar (madhya pradesh),jhunjhunun (rajasthan)
neemuch,madhya pradesh,gulbarga (karnataka),karur (tamil nadu),bargarh (odisha),jamnagar (gujarat),koppal (karnataka)
niwari,madhya pradesh,kinnaur (himachal pradesh),nawanshahr (punjab),karim nagar (andhra pradesh),lakshadweep (lakshadweep),nicobar (andaman and nicobar islands)
pandhurna,madhya pradesh,ranipet (tamil nadu),medinipur (west bengal),maihar (madhya pradesh),jangaon (telangana),south east delhi (delhi)
panna,madhya pradesh,nagaon (assam),katni (madhya pradesh),patan (gujarat),bhilwara (rajasthan),guna (madhya pradesh)
raisen,madhya pradesh,kheda (gujarat),shajapur (madhya pradesh),panchmahals (gujarat),dehradun (uttarakhand),medak (telangana)
rajgarh,madhya pradesh,ratlam (madhya pradesh),medak (telangana),amritsar (punjab),tikamgarh (madhya pradesh),sehore (madhya pradesh)
ratlam,madhya pradesh,hingoli (maharashtra),medak (telangana),rajgarh (madhya pradesh),amritsar (punjab),baleswar (odisha)
rewa,madhya pradesh,tiruchirappalli (tamil nadu),vellore (tamil nadu),cuddalore (tamil nadu),betul (madhya pradesh),tirunelveli (tamil nadu)
sagar,madhya pradesh,jabalpur (madhya pradesh),satna (madhya pradesh),bhopal (madhya pradesh),bhavnagar (gujarat),ujjain (madhya pradesh)
satna,madhya pradesh,jabalpur (madhya pradesh),sagar (madhya pradesh),bhavnagar (gujarat),bhopal (madhya pradesh),dehradun (uttarakhand)
sehore,madhya pradesh,baleswar (odisha),panchmahals (gujarat),medak (telangana),balangir (odisha),rajgarh (madhya pradesh)
seoni,madhya pradesh,panipat (haryana),nizamabad (telangana),dharwad (karnataka),junagadh (gujarat),balaghat (madhya pradesh)
shahdol,madhya pradesh,dharmapuri (tamil nadu),sivaganga (tamil nadu),damoh (madhya pradesh),viluppuram (tamil nadu),khorda (odisha)
shajapur,madhya pradesh,kheda (gujarat),villupuram (tamil nadu),mahesana (gujarat),raisen (madhya pradesh),betul (madhya pradesh)
sheopur,madhya pradesh,alirajpur (madhya pradesh),deoghar (jharkhand),baghpat (uttar pradesh),jamui (bihar),sirohi (rajasthan)
shivpuri,madhya pradesh,dhule (maharashtra),begusarai (bihar),churu (rajasthan),udaipur (rajasthan),dhanbad (jharkhand)
sidhi,madhya pradesh,junagadh (gujarat),nizamabad (telangana),tiruvannamalai (tamil nadu),belgaum (karnataka),balaghat (madhya pradesh)
singrauli,madhya pradesh,belgaum (karnataka),villupuram (tamil nadu),mahesana (gujarat),dharmapuri (tamil nadu),anand (gujarat)
tikamgarh,madhya pradesh,palakkad (kerala),thiruvananthapuram (kerala),mayurbhanj (odisha),thanjavur (tamil nadu),thrissur (kerala)
ujjain,madhya pradesh,purba medinipur (west bengal),satna (madhya pradesh),jabalpur (madhya pradesh),sagar (madhya pradesh),bhavnagar (gujarat)
umaria,madhya pradesh,vijayapura (karnataka),yadgir (karnataka),gir somnath (gujarat),doda (jammu and kashmir),neemuch (madhya pradesh)
vidisha,madhya pradesh,raichur (karnataka),dewas (madhya pradesh),guna (madhya pradesh),katni (madhya pradesh),valsad (gujarat)
west nimar,madhya pradesh,harda  (madhya pradesh),narmadapuram (madhya pradesh),medchal−malkajgiri (telangana),narsimhapur (madhya pradesh),kishtwar (jammu and kashmir)
ahilyanagar,maharashtra,salumbar (rajasthan),didwana-kuchaman (rajasthan),balotra (rajasthan),beawar (rajasthan),bajali (assam)
ahmadnagar,maharashtra,nanded (maharashtra),solapur (maharashtra),jalgaon (maharashtra),latur (maharashtra),chennai (tamil nadu)
ahmed nagar,maharashtra,subarnapur (odisha),nizamabad (andhra pradesh),shupiyan (jammu and kashmir),baudh (odisha),garhwa  (jharkhand)
ahmednagar,maharashtra,medinipur west (west bengal),medchal malkajgiri (telangana),ranga reddy (telangana),kamrup (meghalaya),east singhbum (jharkhand)
akola,maharashtra,raigarh (chhattisgarh),raigarh (maharashtra),jalna (maharashtra),janjgir-champa (chhattisgarh),durg (chhattisgarh)
amravati,maharashtra,yavatmal (maharashtra),kolhapur (maharashtra),akola (maharashtra),janjgir-champa (chhattisgarh),satara (maharashtra)
aurangabad,maharashtra,malappuram (kerala),katihar (bihar),kancheepuram (tamil nadu),ahmedabad (gujarat),palghar (maharashtra)
beed,maharashtra,chennai (tamil nadu),sangli (maharashtra),tiruvallur (tamil nadu),coimbatore (tamil nadu),nanded (maharashtra)
bhandara,maharashtra,dhamtari (chhattisgarh),wardha (maharashtra),balod (chhattisgarh),sindhudurg (maharashtra),ratnagiri (maharashtra)
bid,maharashtra,malerkotla (punjab),hazaribag (jharkhand),palamau (jharkhand),north twenty four parganas (west bengal),shupiyan (jammu and kashmir)
buldana,maharashtra,south goa (goa),kabeerdham (chhattisgarh),faridkot (punjab),sri muktsar sahib (punjab),barnala (punjab)
buldhana,maharashtra,parbhani (maharashtra),prakasam (andhra pradesh),udham singh nagar (uttarakhand),jalna (maharashtra),raigarh (maharashtra)
chandrapur,maharashtra,rajnandgaon (chhattisgarh),janjgir-champa (chhattisgarh),washim (maharashtra),durg (chhattisgarh),vizianagaram (andhra pradesh)
chatrapati sambhaji nagar,maharashtra,mohla-manpur-ambagarh chouki (chhattisgarh),khairagarh chhuikhadan gandai (chhattisgarh),chhatrapati sambhajinagar (maharashtra),tirupati (andhra pradesh),north dinajpur (west bengal)
chhatrapati sambhajinagar,maharashtra,tirupati (andhra pradesh),shahdara (delhi),darjiling (west bengal),chengalpattu (tamil nadu),sri potti sriramulu nellore (andhra pradesh)
dharashiv,maharashtra,khairagarh chhuikhadan gandai (chhattisgarh),north dinajpur (west bengal),sarangarh-bilaigarh (chhattisgarh),sribhumi (assam),south dinajpur (west bengal)
dhule,maharashtra,shivpuri (madhya pradesh),begusarai (bihar),dhanbad (jharkhand),muzaffarnagar (uttar pradesh),udaipur (rajasthan)
gadchiroli,maharashtra,ratnagiri (maharashtra),bemetara (chhattisgarh),wardha (maharashtra),ananthapur (andhra pradesh),durg (chhattisgarh)
gondia,maharashtra,washim  (maharashtra),leh (ladakh),dhalai  (tripura),mammit (mizoram),nicobar (andaman and nicobar islands)
gondiya,maharashtra,ananthapuramu (andhra pradesh),vizianagaram (andhra pradesh),kanniyakumari (tamil nadu),sirsa (haryana),fatehabad (haryana)
gondiya ,maharashtra,gaurela-pendra-marwahi (chhattisgarh),washim  (maharashtra),leh (ladakh),gondia (maharashtra),yanam (puducherry)
hingoli,maharashtra,ratlam (madhya pradesh),amritsar (punjab),medak (telangana),kheda (gujarat),dehradun (uttarakhand)
hingoli ,maharashtra,leh (ladakh) (jammu and kashmir),tiruvarur (tamil nadu),bijapur(kar) (karnataka),bardez (goa),mahabubnagar (andhra pradesh)
jalgaon,maharashtra,nanded (maharashtra),solapur (maharashtra),ahmadnagar (maharashtra),north west delhi (delhi),chennai (tamil nadu)
jalna,maharashtra,parbhani (maharashtra),raigarh (maharashtra),buldhana (maharashtra),akola (maharashtra),udham singh nagar (uttarakhand)
kolhapur,maharashtra,satara (maharashtra),buldhana (maharashtra),amravati (maharashtra),raipur (chhattisgarh),parbhani (maharashtra)
latur,maharashtra,sangli (maharashtra),dindigul (tamil nadu),nanded (maharashtra),ahmadnagar (maharashtra),beed (maharashtra)
mumbai,maharashtra,nashik (maharashtra),ahmedabad (gujarat),beed (maharashtra),tiruvallur (tamil nadu),kancheepuram (tamil nadu)
mumbai city,maharashtra,bongaigaon (assam),kupwara (jammu and kashmir),sas nagar (mohali) (punjab),kandhamal (odisha),angul (odisha)
mumbai suburban,maharashtra,hooghly (west bengal),howrah (west bengal),bijnor (uttar pradesh),moradabad (uttar pradesh),saharanpur (uttar pradesh)
mumbai( sub urban ),maharashtra,garhwa  (jharkhand),harda  (madhya pradesh),subarnapur (odisha),west nimar (madhya pradesh),leh (jammu and kashmir)
nagpur,maharashtra,guntur (andhra pradesh),prakasam (andhra pradesh),ganjam (odisha),bilaspur (chhattisgarh),salem (tamil nadu)
nanded,maharashtra,solapur (maharashtra),ahmadnagar (maharashtra),jalgaon (maharashtra),chennai (tamil nadu),beed (maharashtra)
nandurbar,maharashtra,east singhbhum (jharkhand),sikar (rajasthan),mahabubnagar (telangana),kancheepuram (tamil nadu),jhunjhunun (rajasthan)
nandurbar ,maharashtra,leh (jammu and kashmir),tawang (arunachal pradesh),anugul (odisha),k.v.rangareddy (andhra pradesh),north sikkim (sikkim)
nashik,maharashtra,ahmedabad (gujarat),mumbai (maharashtra),aurangabad (maharashtra),north west delhi (delhi),pune (maharashtra)
osmanabad,maharashtra,akola (maharashtra),durg (chhattisgarh),jalandhar (punjab),janjgir-champa (chhattisgarh),jalna (maharashtra)
palghar,maharashtra,pali (rajasthan),north east delhi (delhi),malappuram (kerala),amroha (uttar pradesh),kachchh (gujarat)
parbhani,maharashtra,buldhana (maharashtra),udham singh nagar (uttarakhand),jalna (maharashtra),raigarh (maharashtra),prakasam (andhra pradesh)
pune,maharashtra,nashik (maharashtra),north west delhi (delhi),k.v. rangareddy (telangana),south delhi (delhi),bijnor (uttar pradesh)
raigad,maharashtra,medchal-malkajgiri (telangana),jogulamba gadwal (telangana),wanaparthy (telangana),narayanpet (telangana),chengalpattu (tamil nadu)
raigarh,maharashtra,jalna (maharashtra),parbhani (maharashtra),nellore (andhra pradesh),udham singh nagar (uttarakhand),patiala (punjab)
raigarh(mh),maharashtra,north (sikkim),south east delhi (delhi),ranipet (tamil nadu),hardwar (uttarakhand),rangareddy (telangana)
ratnagiri,maharashtra,gadchiroli (maharashtra),bemetara (chhattisgarh),dhamtari (chhattisgarh),ananthapur (andhra pradesh),wardha (maharashtra)
sangli,maharashtra,dindigul (tamil nadu),beed (maharashtra),latur (maharashtra),chennai (tamil nadu),coimbatore (tamil nadu)
satara,maharashtra,raigarh (chhattisgarh),baloda bazar (chhattisgarh),kolhapur (maharashtra),raipur (chhattisgarh),akola (maharashtra)
sindhudurg,maharashtra,ferozepur (punjab),panchkula (haryana),dhamtari (chhattisgarh),rupnagar (punjab),kabeerdham (chhattisgarh)
solapur,maharashtra,nanded (maharashtra),ahmadnagar (maharashtra),jalgaon (maharashtra),chennai (tamil nadu),north west delhi (delhi)
thane,maharashtra,jaipur (rajasthan),alwar (rajasthan),jodhpur (rajasthan),bareilly (uttar pradesh),saharanpur (uttar pradesh)
wardha,maharashtra,bhandara (maharashtra),balod (chhattisgarh),dhamtari (chhattisgarh),ratnagiri (maharashtra),ananthapur (andhra pradesh)
washim,maharashtra,bemetara (chhattisgarh),bathinda (punjab),rajnandgaon (chhattisgarh),ananthapuramu (andhra pradesh),durg (chhattisgarh)
washim ,maharashtra,gondia (maharashtra),leh (ladakh),gondiya  (maharashtra),dhalai  (tripura),mammit (mizoram)
yavatmal,maharashtra,amravati (maharashtra),kolhapur (maharashtra),jalna (maharashtra),osmanabad (maharashtra),parbhani (maharashtra)
bishnupur,manipur,senapati (manipur),hazaribag (jharkhand),ukhrul (manipur),bhadohi (uttar pradesh),south (sikkim)
chandel,manipur,mokokchung (nagaland),wokha (nagaland),zunheboto (nagaland),phek (nagaland),papum pare (arunachal pradesh)
churachandpur,manipur,mon (nagaland),arwal (bihar),tuensang (nagaland),balrampur (uttar pradesh),gopalganj (bihar)
imphal east,manipur,imphal west (manipur),thoubal (manipur),narayanpur (chhattisgarh),dhalai (tripura),pashchimi singhbhum (jharkhand)
imphal west,manipur,imphal east (manipur),narayanpur (chhattisgarh),thoubal (manipur),jashpur (chhattisgarh),dhalai (tripura)
jiribam,manipur,siang (arunachal pradesh),west (sikkim),kra daadi (arunachal pradesh),east siang (arunachal pradesh),mokokchung (nagaland)
kakching,manipur,bhadohi (uttar pradesh),south (sikkim),niuland (nagaland),bishnupur (manipur),tamenglong (manipur)
pherzawl,manipur,bengaluru south (karnataka),tamulpur district (assam),deeg (rajasthan),mangan (sikkim),south 24 pargana (west bengal)
senapati,manipur,ukhrul (manipur),dhalai (tripura),khunti (jharkhand),kondagaon (chhattisgarh),auraiya (uttar pradesh)
tamenglong,manipur,buxar (bihar),sahibganj (jharkhand),jehanabad (bihar),chandel (manipur),ukhrul (manipur)
thoubal,manipur,imphal east (manipur),imphal west (manipur),ukhrul (manipur),papum pare (arunachal pradesh),narayanpur (chhattisgarh)
ukhrul,manipur,senapati (manipur),papum pare (arunachal pradesh),east (sikkim),pashchimi singhbhum (jharkhand),south (sikkim)
east garo hills,meghalaya,south garo hills (meghalaya),north garo hills (meghalaya),ri bhoi (meghalaya),west khasi hills (meghalaya),surendranagar (gujarat)
east jaintia hills,meghalaya,west jaintia hills (meghalaya),south west khasi hills (meghalaya),sabar kantha (gujarat),barabanki (uttar pradesh),south west garo hills (meghalaya)
east khasi hills,meghalaya,dohad (gujarat),west garo hills (meghalaya),west jaintia hills (meghalaya),east jaintia hills (meghalaya),ahmadabad (gujarat)
eastern west khasi hills,meghalaya,bengaluru rural (karnataka),gaurella pendra marwahi (chhattisgarh),dinajpur dakshin (west bengal),jalore (rajasthan),s.a.s nagar (punjab)
jaintia hills,meghalaya,nicobars (andaman and nicobar islands),medinipur (west bengal),hnahthial (mizoram),hooghiy (west bengal),warangal (urban) (telangana)
kamrup,meghalaya,ahmednagar (maharashtra),medinipur west (west bengal),ranga reddy (telangana),medchal malkajgiri (telangana),kushi nagar (uttar pradesh)
north garo hills,meghalaya,south garo hills (meghalaya),east garo hills (meghalaya),ri bhoi (meghalaya),west khasi hills (meghalaya),pashchim champaran (bihar)
ri bhoi,meghalaya,west khasi hills (meghalaya),east garo hills (meghalaya),surendranagar (gujarat),south west khasi hills (meghalaya),south west garo hills (meghalaya)
south garo hills,meghalaya,north garo hills (meghalaya),east garo hills (meghalaya),ri bhoi (meghalaya),pashchim champaran (bihar),west khasi hills (meghalaya)
south west garo hills,meghalaya,golaghat (assam),south west khasi hills (meghalaya),alipurduar (west bengal),sonitpur (assam),goalpara (assam)
south west khasi hills,meghalaya,alipurduar (west bengal),south west garo hills (meghalaya),east jaintia hills (meghalaya),barabanki (uttar pradesh),golaghat (assam)
west garo hills,meghalaya,ahmadabad (gujarat),east khasi hills (meghalaya),dohad (gujarat),sitamarhi (bihar),karbi anglong (assam)
west jaintia hills,meghalaya,east jaintia hills (meghalaya),south west khasi hills (meghalaya),east khasi hills (meghalaya),dohad (gujarat),sabar kantha (gujarat)
west khasi hills,meghalaya,ri bhoi (meghalaya),east garo hills (meghalaya),south west khasi hills (meghalaya),west jaintia hills (meghalaya),surendranagar (gujarat)
aizawl,mizoram,uttar bastar kanker (chhattisgarh),nalgonda (andhra pradesh),adilabad (andhra pradesh),khammam (andhra pradesh),rangareddi (andhra pradesh)
champhai,mizoram,bandipore (jammu and kashmir),mahabub nagar (andhra pradesh),boudh (odisha),kishtwar (jammu and kashmir),west nimar (madhya pradesh)
hnahthial,mizoram,hooghiy (west bengal),jaintia hills (meghalaya),kushinagar  (uttar pradesh),tirupathur (tamil nadu),east midnapur (west bengal)
khawzawl,mizoram,jyotiba phule nagar (uttar pradesh),dima hasao (assam),bulandshahar (uttar pradesh),hugli (west bengal),namchi (sikkim)
kolasib,mizoram,mamit (mizoram),firozpur (punjab),baudh (odisha),ahmed nagar (maharashtra),daman (dadra and nagar haveli and daman and diu)
lawngtlai,mizoram,narsimhapur (madhya pradesh),agar malwa (madhya pradesh),devbhumi dwarka (gujarat),mahabub nagar (andhra pradesh),champhai (mizoram)
lunglei,mizoram,sundargarh (odisha),dantewada (chhattisgarh),shupiyan (jammu and kashmir),nizamabad (andhra pradesh),purbi singhbhum (jharkhand)
mamit,mizoram,daman (dadra and nagar haveli and daman and diu),serchhip (mizoram),kolasib (mizoram),south andaman (andaman and nicobar islands),diu (dadra and nagar haveli and daman and diu)
mammit,mizoram,diu (dadra and nagar haveli and daman and diu),andamans (andaman and nicobar islands),karim nagar (andhra pradesh),nicobar (andaman and nicobar islands),kinnaur (himachal pradesh)
saiha,mizoram,majuli (assam),kargil (jammu and kashmir),kargil (ladakh),thiruvallur (tamil nadu),lawngtlai (mizoram)
saitual,mizoram,north (sikkim),kushinagar  (uttar pradesh),raigarh(mh) (maharashtra),yanam (puducherry),south east delhi (delhi)
